emissoes_ultimos_3_meses,emissoes_ultimo_mes,crescimento_emissoes,tickets_abertos_ultimos_3_meses,tickets_abertos_ultimo_mes,crescimento_tickets_abertos,atraso_fatura_ultimos_3_meses,atraso_fatura_ultimo_mes,mes,cancelamento
3237,600,0.56,47,21,1.31,2,1,6,1
3038,1039,1.03,9,3,1.00,1,0,6,0
9451,3186,1.01,12,4,1.00,1,0,7,0
1097,207,0.57,36,15,1.25,2,1,7,1
3754,1268,1.01,2,0,0.00,2,0,6,0
8323,2786,1.00,13,5,1.00,0,0,9,0
3671,1261,1.03,14,3,0.60,0,0,1,0
9733,3278,1.01,6,2,1.00,0,0,12,1
9991,3380,1.01,2,0,0.00,2,0,6,0
7064,2375,1.01,7,1,0.33,0,0,6,0
3813,1312,1.03,7,2,0.67,1,0,9,0
9569,3228,1.01,10,3,0.75,1,0,10,0
4635,1562,1.01,0,0,0.00,2,0,11,0
8303,2813,1.02,0,0,0.00,2,0,3,0
2849,971,1.02,2,0,0.00,1,1,8,0
545,210,1.15,5,2,1.00,1,0,7,0
6746,1319,0.59,59,23,1.15,3,1,7,1
8219,1639,0.60,26,13,1.44,0,0,6,0
810,298,1.10,15,3,0.60,2,0,10,0
2112,730,1.04,15,3,0.60,2,0,5,0
3489,1195,1.03,14,5,1.00,0,0,11,0
7902,1540,0.58,53,22,1.22,0,0,6,1
808,317,1.17,4,2,1.00,0,0,5,0
6200,2084,1.01,15,3,0.60,0,0,2,0
8278,2806,1.02,6,2,1.00,1,0,3,1
1564,558,1.07,9,2,0.67,0,0,7,1
6681,2261,1.02,2,0,0.00,2,1,11,1
3335,1144,1.03,2,0,0.00,0,0,9,0
5573,1906,1.03,1,0,0.00,1,0,7,0
4793,927,0.58,30,15,1.50,3,1,1,1
6834,2296,1.01,15,4,0.80,2,0,12,0
3108,1066,1.03,14,5,1.00,0,0,11,0
4980,1684,1.01,0,0,0.00,2,0,1,0
318,143,1.35,8,3,1.00,1,1,5,0
664,260,1.17,13,5,1.00,0,0,11,0
2048,383,0.56,41,14,1.00,3,1,6,1
4187,1425,1.02,10,3,0.75,2,1,5,0
5021,1718,1.03,14,5,1.00,0,0,6,0
997,350,1.05,9,1,0.33,0,0,12,1
1831,330,0.54,36,14,1.17,3,1,6,1
6097,2068,1.02,6,2,1.00,2,0,12,0
8082,2724,1.01,7,1,0.33,2,0,10,0
3893,1334,1.03,14,3,0.60,1,1,1,0
3385,1161,1.03,1,0,0.00,0,0,7,1
1647,298,0.54,56,23,1.21,1,1,6,1
2782,509,0.55,32,15,1.36,3,0,7,1
